end_year,adm_1,best
#date+year+end,#adm1+name,#affected+killed
2004,Aceh Province,3
1999,Kalimantan Barat Province,17
1999,Kalimantan Barat Province,51
1999,Kalimantan Barat Province,0
2000,Maluku Province,7
2000,Maluku Utara Province,34
1999,Maluku Province,15
1998,Irian Jaya Province,7
1998,Timor Timur Province,13
2002,Aceh Province,7
2002,Aceh Province,6
1997,Kalimantan Barat Province,5
2011,Maluku Province,3
1990,Aceh Province,26
1990,Aceh Province,1
1991,Aceh Province,2
1993,Timor Timur Province,4
1996,Timor Timur Province,2
2003,Aceh Province,0
1999,Aceh Province,0
2004,Aceh Province,0
2004,Aceh Province,11
2000,Aceh Province,25
2000,Irian Jaya Province,1
2001,Aceh Province,2
2001,Aceh Province,0
2001,Aceh Province,0
2001,Aceh Province,5
2001,Aceh Province,0
2001,Aceh Province,8
2001,Aceh Province,9
2001,Aceh Province,2
2001,Aceh Province,3
2002,Aceh Province,2
2002,Aceh Province,1
2002,Aceh Province,1
2002,Aceh Province,2
1991,Aceh Province,2
1991,Aceh Province,1
2004,Aceh Province,3
2004,Aceh Province,1
2004,Aceh Province,1
2004,Aceh Province,1
2004,Aceh Province,2
2004,Aceh Province,1
2005,Aceh Province,3
2001,Aceh Province,2
2001,Aceh Province,1
1991,Aceh Province,1
2001,Aceh Province,3
1991,Aceh Province,1
1990,Aceh Province,1
2003,Aceh Province,2
2003,Aceh Province,2
2003,Aceh Province,2
2003,Aceh Province,2
1989,Aceh Province,2
2003,Aceh Province,2
2003,Aceh Province,3
2004,Aceh Province,1
1989,Aceh Province,2
1990,Aceh Province,1
2002,Aceh Province,0
1989,Aceh Province,1
2003,Aceh Province,16
1989,Aceh Province,1
1990,Aceh Province,0
1990,Timor Timur Province,3
1990,Timor Timur Province,2
1990,Timor Timur Province,2
1990,Aceh Province,1
1990,Aceh Province,1
1990,Aceh Province,2
1990,Aceh Province,1
1990,Aceh Province,1
1990,Aceh Province,5
1990,Aceh Province,4
1990,Aceh Province,1
1990,Aceh Province,4
1990,Aceh Province,1
1990,Aceh Province,2
1990,Aceh Province,4
1990,Aceh Province,1
1992,Aceh Province,1
1990,Aceh Province,7
1990,Aceh Province,1
1990,Aceh Province,1
1990,Aceh Province,1
1990,Aceh Province,2
1990,Aceh Province,7
1990,Aceh Province,1
1990,Aceh Province,2
1990,Aceh Province,1
1990,Aceh Province,1
1990,Aceh Province,2
1990,Aceh Province,56
1990,Aceh Province,1
1990,Aceh Province,1
1990,Aceh Province,1
1990,Aceh Province,9
1991,Aceh Province,5
1991,Timor Timur Province,2
1991,Timor Timur Province,1
1991,Timor Timur Province,2
1991,Timor Timur Province,1
1991,Aceh Province,2
1991,Aceh Province,0
2002,Aceh Province,1
1991,Aceh Province,4
1991,Aceh Province,3
1991,Aceh Province,3
1991,Aceh Province,3
1991,Aceh Province,6
1992,Aceh Province,1
1992,Aceh Province,1
1992,Timor Timur Province,2
1991,Aceh Province,5
1991,Aceh Province,2
1992,Timor Timur Province,2
1992,Timor Timur Province,30
1993,Aceh Province,2
1993,Timor Timur Province,10
1989,Irian Jaya Province,1
1990,Aceh Province,28
1994,Aceh Province,1
1995,Timor Timur Province,2
1999,Aceh Province,31
2001,Aceh Province,6
1996,Timor Timur Province,1
1996,Timor Timur Province,1
1996,Timor Timur Province,5
1996,Timor Timur Province,1
1996,Timor Timur Province,2
1996,Timor Timur Province,9
1990,Aceh Province,1
1997,Timor Timur Province,2
1997,Timor Timur Province,5
1997,Kalimantan Barat Province,2
1997,Kalimantan Barat Province,148
1997,Kalimantan Barat Province,4
1997,Kalimantan Barat Province,131
1997,Kalimantan Barat Province,1
1997,Kalimantan Barat Province,12
1997,Kalimantan Barat Province,15
2003,Aceh Province,3
2003,Aceh Province,3
2003,Aceh Province,3
2003,Aceh Province,2
1991,Aceh Province,1
2003,Aceh Province,2
1997,Timor Timur Province,6
1999,Maluku Province,24
1997,Timor Timur Province,2
1997,Timor Timur Province,1
1997,Timor Timur Province,1
1997,Timor Timur Province,1
1997,Timor Timur Province,1
1997,Timor Timur Province,1
1997,Timor Timur Province,1
1997,Timor Timur Province,3
1997,Timor Timur Province,7
1997,Timor Timur Province,0
1997,Timor Timur Province,2
1998,Aceh Province,0
1998,Irian Jaya Province,0
1998,Timor Timur Province,2
1998,Timor Timur Province,2
1998,Irian Jaya Province,1
1990,Aceh Province,1
1998,Timor Timur Province,3
1998,Timor Timur Province,1
1998,Timor Timur Province,4
1998,Timor Timur Province,0
1998,Timor Timur Province,1
1999,Aceh Province,9
1999,Timor Timur Province,1
1999,Maluku Province,40
1999,Maluku Province,54
1999,Maluku Province,51
1999,Timor Timur Province,1
1999,Aceh Province,0
1999,Kalimantan Barat Province,7
1999,Timor Timur Province,1
1999,Maluku Province,10
1999,Maluku Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Kalimantan Barat Province,53
1999,Kalimantan Barat Province,44
1999,Timor Timur Province,4
1999,Timor Timur Province,1
1999,Timor Timur Province,3
1999,Maluku Province,2
1999,Timor Timur Province,0
1999,Timor Timur Province,57
1999,Timor Timur Province,5
1999,Maluku Province,6
1999,Maluku Province,28
1999,Timor Timur Province,1
1999,Timor Timur Province,0
1999,Timor Timur Province,3
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Aceh Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,3
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Aceh Province,0
1999,Aceh Province,21
1999,Aceh Province,0
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Aceh Province,0
1999,Aceh Province,2
1999,Timor Timur Province,2
1999,Aceh Province,0
1999,Aceh Province,2
1999,Aceh Province,0
1999,Aceh Province,1
1999,Timor Timur Province,2
1999,Aceh Province,0
1999,Aceh Province,0
1999,Aceh Province,0
1999,Aceh Province,0
1999,Aceh Province,4
1999,Aceh Province,4
1999,Aceh Province,2
1999,Aceh Province,5
1999,Aceh Province,9
1999,Aceh Province,18
1999,Aceh Province,0
1999,Aceh Province,1
1999,Aceh Province,0
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Maluku Province,9
1999,Aceh Province,1
1999,Timor Timur Province,1
1999,Maluku Province,0
1999,Timor Timur Province,3
1999,Timor Timur Province,1
1999,Timor Timur Province,6
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,4
1999,Timor Timur Province,1
1999,Timor Timur Province,5
1999,Maluku Province,4
1999,Maluku Province,4
2003,Aceh Province,4
1999,Maluku Province,5
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,8
1999,Timor Timur Province,3
1999,Timor Timur Province,3
1999,Timor Timur Province,2
1999,Timor Timur Province,2
1999,Timor Timur Province,4
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Nusa Tenggara Timur Province,3
1999,Timor Timur Province,15
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,3
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,4
1999,Timor Timur Province,1
1999,Timor Timur Province,6
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Irian Jaya Province,0
1999,Timor Timur Province,26
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
2003,Aceh Province,3
1999,Timor Timur Province,1
1999,Timor Timur Province,48
1999,Timor Timur Province,6
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,14
1999,Timor Timur Province,4
1999,Nusa Tenggara Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Nusa Tenggara Timur Province,2
1999,Timor Timur Province,4
1999,Timor Timur Province,1
1999,Timor Timur Province,6
1999,Timor Timur Province,1
1999,Irian Jaya Province,0
2003,Aceh Province,3
1999,Timor Timur Province,9
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Lampung Province,1
1999,Timor Timur Province,1
1999,Maluku Province,0
1999,Maluku Province,0
1999,Aceh Province,1
1999,Aceh Province,2
1999,Timor Timur Province,1
2003,Aceh Province,6
2003,Aceh Province,0
1999,Timor Timur Province,5
1999,Timor Timur Province,12
1999,Maluku Utara Province,4
1999,Maluku Province,5
1999,Aceh Province,2
1999,Aceh Province,0
1999,Aceh Province,2
1999,Maluku Province,31
1999,Aceh Province,2
1999,Aceh Province,0
1999,Aceh Province,1
1999,Aceh Province,0
1999,Aceh Province,1
1999,Maluku Province,23
2001,Maluku Province,3
1999,Aceh Province,3
1999,Aceh Province,2
2000,Aceh Province,3
2000,Aceh Province,0
2000,Maluku Utara Province,12
2000,Aceh Province,3
2000,Aceh Province,3
2000,Aceh Province,1
2000,Aceh Province,1
2000,Aceh Province,5
2000,Maluku Province,25
2000,Aceh Province,4
2000,Maluku Utara Province,65
2000,Aceh Province,11
2000,Aceh Province,2
2000,Aceh Province,2
2000,Aceh Province,0
2000,Maluku Utara Province,12
2000,Aceh Province,2
2000,Aceh Province,2
2000,Aceh Province,0
2000,Aceh Province,3
2000,Sulawesi Tengah Province,5
2000,Aceh Province,1
2000,Aceh Province,1
2000,Maluku Utara Province,22
2000,Maluku Province,3
2000,Maluku Utara Province,114
2000,Maluku Province,10
2000,Aceh Province,0
2000,Maluku Province,5
2000,Maluku Province,13
2000,Aceh Province,4
2000,Aceh Province,4
2000,Maluku Utara Province,4
2000,Maluku Province,4
2000,Maluku Province,4
2000,Maluku Province,22
2000,Aceh Province,3
2000,Aceh Province,4
2000,Maluku Province,7
2000,Aceh Province,0
2000,Maluku Province,6
2000,Maluku Province,2
2000,Aceh Province,2
2000,Aceh Province,2
2000,Aceh Province,4
2001,Aceh Province,4
2000,Aceh Province,0
2000,Aceh Province,1
2000,Aceh Province,3
2000,Aceh Province,0
2000,Aceh Province,5
2000,Aceh Province,6
2000,Maluku Province,12
2000,Aceh Province,2
2000,Aceh Province,0
2000,Aceh Province,3
2000,Aceh Province,1
2000,Aceh Province,2
2000,Aceh Province,1
2000,Aceh Province,0
2000,Aceh Province,4
2000,Aceh Province,1
2000,Aceh Province,0
2000,Aceh Province,0
2000,Aceh Province,3
2000,Aceh Province,5
2000,Aceh Province,1
2000,Aceh Province,0
2000,Maluku Province,54
2000,Aceh Province,8
2000,Aceh Province,1
2000,Aceh Province,4
2000,Aceh Province,0
2000,Aceh Province,0
2000,Aceh Province,9
2000,Aceh Province,1
2000,Aceh Province,3
2000,Aceh Province,2
2000,Aceh Province,0
2001,Aceh Province,4
2001,Aceh Province,2
2001,Aceh Province,2
2001,Aceh Province,2
2001,Aceh Province,3
2001,Aceh Province,0
2001,Maluku Province,5
2001,Aceh Province,7
2001,Aceh Province,2
2003,Aceh Province,2
2001,Aceh Province,1
2001,Kalimantan Tengah Province,8
2001,Aceh Province,0
2001,Kalimantan Tengah Province,17
2001,Kalimantan Tengah Province,110
2001,Kalimantan Tengah Province,47
2001,Kalimantan Tengah Province,21
2001,Kalimantan Tengah Province,45
2001,Kalimantan Tengah Province,0
2001,Kalimantan Tengah Province,118
2001,Kalimantan Tengah Province,7
2001,Aceh Province,7
2001,Jawa Timur Province,2
2001,Kalimantan Tengah Province,1
2001,Kalimantan Tengah Province,1
2001,Kalimantan Tengah Province,13
2001,Jawa Timur Province,2
2001,Aceh Province,5
2001,Aceh Province,4
2001,Aceh Province,5
2001,Aceh Province,4
2001,Aceh Province,4
2001,Kalimantan Tengah Province,1
2001,Aceh Province,4
2001,Aceh Province,1
2001,Kalimantan Tengah Province,4
2001,Kalimantan Tengah Province,11
2001,Kalimantan Tengah Province,0
2001,Kalimantan Tengah Province,1
2001,Kalimantan Tengah Province,17
2003,Aceh Province,5
2001,Aceh Province,1
2001,Aceh Province,2
2001,Aceh Province,0
2001,Maluku Province,8
2001,Aceh Province,3
2001,Aceh Province,5
2001,Aceh Province,50
2001,Aceh Province,5
2001,Aceh Province,1
2001,Aceh Province,1
2001,Aceh Province,20
2001,Aceh Province,0
2001,Aceh Province,4
2001,Aceh Province,4
2001,Aceh Province,2
2001,Aceh Province,1
2003,Aceh Province,4
1994,Timor Timur Province,4
1995,Aceh Province,1
2004,Aceh Province,5
1992,Timor Timur Province,3
2004,Aceh Province,6
2004,Aceh Province,16
2004,Aceh Province,1
2004,Aceh Province,1
2004,Aceh Province,1
2004,Aceh Province,2
2004,Aceh Province,3
2004,Aceh Province,2
2004,Aceh Province,10
2004,Aceh Province,3
2004,Aceh Province,2
2004,Aceh Province,4
2004,Aceh Province,1
1990,Timor Timur Province,1
1990,Aceh Province,3
1990,Aceh Province,5
1990,Aceh Province,1
1990,Aceh Province,1
1990,Aceh Province,1
1991,Aceh Province,1
1991,Aceh Province,62
1991,Aceh Province,1
1991,Aceh Province,14
1991,Aceh Province,0
1991,Timor Timur Province,4
1991,Irian Jaya Province,3
1991,Aceh Province,2
1991,Aceh Province,3
1991,Timor Timur Province,4
1991,Timor Timur Province,271
1991,Aceh Province,3
1991,Timor Timur Province,0
1991,Timor Timur Province,0
1991,Timor Timur Province,1
1991,Timor Timur Province,1
1991,Timor Timur Province,7
1991,Aceh Province,5
1992,Timor Timur Province,2
1992,Timor Timur Province,2
1992,Aceh Province,1
1992,Aceh Province,1
1992,Aceh Province,2
1992,Timor Timur Province,2
1992,Aceh Province,3
1993,Timor Timur Province,3
1993,Timor Timur Province,2
1993,Timor Timur Province,2
1993,Timor Timur Province,2
1993,Timor Timur Province,2
1994,Timor Timur Province,1
1994,Timor Timur Province,1
1994,Timor Timur Province,1
1994,Timor Timur Province,1
1994,Sumatera Utara Province,1
1994,Timor Timur Province,1
1994,Aceh Province,1
1995,Timor Timur Province,3
1995,Timor Timur Province,6
1995,Timor Timur Province,1
1995,Timor Timur Province,7
1995,Timor Timur Province,0
1995,Timor Timur Province,6
1995,Timor Timur Province,6
1995,Timor Timur Province,2
1995,Timor Timur Province,0
1995,Timor Timur Province,2
1999,Aceh Province,1
1999,Aceh Province,0
1995,Timor Timur Province,1
1995,Irian Jaya Province,0
1995,Irian Jaya Province,11
1995,Aceh Province,6
1995,Timor Timur Province,3
1995,Timor Timur Province,3
1995,Timor Timur Province,2
1995,Aceh Province,0
1995,Irian Jaya Province,1
1996,Timor Timur Province,1
1996,Timor Timur Province,2
1996,Timor Timur Province,1
1996,Timor Timur Province,5
2001,Aceh Province,0
1996,Sulawesi Selatan Province,0
1996,Timor Timur Province,0
1996,Timor Timur Province,1
1996,Irian Jaya Province,1
1996,Timor Timur Province,1
1999,Aceh Province,58
1997,Kalimantan Barat Province,20
1996,Irian Jaya Province,1
1997,Timor Timur Province,2
1997,Timor Timur Province,12
1997,Timor Timur Province,1
1997,Timor Timur Province,4
1997,Kalimantan Barat Province,1
1997,Kalimantan Barat Province,4
1997,Kalimantan Barat Province,1
1997,Kalimantan Barat Province,17
1997,Timor Timur Province,2
1997,Timor Timur Province,0
1997,Timor Timur Province,4
1997,Timor Timur Province,4
1997,Timor Timur Province,17
1997,Timor Timur Province,1
1998,Timor Timur Province,6
1998,Timor Timur Province,4
1998,Timor Timur Province,11
1998,Timor Timur Province,4
1998,Timor Timur Province,3
1998,Timor Timur Province,3
2001,Aceh Province,4
1998,Yogyakarta Province,1
1998,Jakarta Raya Province,6
1998,Timor Timur Province,1
1998,Timor Timur Province,1
1998,Irian Jaya Province,1
1998,Timor Timur Province,1
1998,Timor Timur Province,3
1998,Timor Timur Province,7
1998,Aceh Province,2
1998,Timor Timur Province,1
1998,Timor Timur Province,1
1998,Aceh Province,7
1999,Timor Timur Province,31
1999,Aceh Province,0
1999,Timor Timur Province,2
1999,Aceh Province,4
1999,,0
1999,Timor Timur Province,3
1999,Timor Timur Province,1
1999,Timor Timur Province,0
1999,Timor Timur Province,1
1999,Aceh Province,21
1999,Timor Timur Province,1
1999,Timor Timur Province,0
1999,Maluku Province,1
1999,Timor Timur Province,0
1999,Maluku Province,6
1999,Timor Timur Province,3
1999,Timor Timur Province,2
1999,Maluku Province,0
1999,Timor Timur Province,0
1999,Maluku Province,6
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Maluku Province,3
1999,Timor Timur Province,13
1999,Timor Timur Province,0
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,7
1999,Timor Timur Province,2
1999,Timor Timur Province,3
1999,Timor Timur Province,2
1999,Timor Timur Province,19
1999,Timor Timur Province,1
1999,Timor Timur Province,3
1999,Timor Timur Province,1
1999,Timor Timur Province,8
1999,Timor Timur Province,5
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Maluku Province,22
1999,Timor Timur Province,2
1999,Timor Timur Province,3
1999,Maluku Province,60
1999,Timor Timur Province,6
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,12
1999,Timor Timur Province,9
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,0
1999,Timor Timur Province,1
1999,Timor Timur Province,5
1999,Timor Timur Province,1
1999,Timor Timur Province,0
1999,Aceh Province,9
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,6
1999,Aceh Province,2
1999,Aceh Province,2
1999,Aceh Province,12
1999,Aceh Province,3
1999,Aceh Province,1
1999,Aceh Province,1
1999,Aceh Province,0
1999,Timor Timur Province,1
1999,Aceh Province,6
1999,Aceh Province,1
1999,Maluku Province,0
1999,Aceh Province,3
1999,Maluku Province,0
1999,Maluku Province,16
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Aceh Province,0
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,27
1999,Timor Timur Province,0
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,2
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,,35
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,1
1999,Timor Timur Province,10
1999,Timor Timur Province,2
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Timor Timur Province,2
1999,Timor Timur Province,1
1999,Nusa Tenggara Timur Province,6
1999,Maluku Province,3
1999,Timor Timur Province,1
1999,Timor Timur Province,3
1999,Timor Timur Province,12
1999,Timor Timur Province,2
1999,Timor Timur Province,3
1999,Timor Timur Province,13
1999,Timor Timur Province,3
1999,Nusa Tenggara Timur Province,0
1999,Aceh Province,0
1999,Aceh Province,0
1999,Aceh Province,2
1999,Maluku Province,2
1999,Nusa Tenggara Timur Province,2
1999,Timor Timur Province,0
1999,Aceh Province,0
1999,Maluku Province,1
1999,Timor Timur Province,150
1999,Aceh Province,0
1999,Maluku Utara Province,0
1999,Maluku Utara Province,0
1999,Maluku Utara Province,0
1999,Maluku Province,4
1999,Maluku Province,5
1999,Maluku Province,38
1999,Maluku Province,0
1999,Aceh Province,1
1999,Aceh Province,0
1999,Aceh Province,0
1999,Aceh Province,0
1999,Aceh Province,2
1999,Aceh Province,1
1999,Maluku Province,3
1999,Aceh Province,1
1999,Aceh Province,18
1999,Aceh Province,2
1999,Aceh Province,1
1999,Aceh Province,1
1999,Aceh Province,3
1999,Aceh Province,2
1999,Aceh Province,2
1999,Aceh Province,1
1999,Maluku Province,18
1999,Aceh Province,3
1999,Aceh Province,1
2000,Aceh Province,1
2000,Aceh Province,2
2000,Maluku Province,9
2000,Aceh Province,5
2000,Aceh Province,20
2000,Nusa Tenggara Barat Province,5
2000,Aceh Province,11
2000,Aceh Province,7
2000,Aceh Province,4
2000,Aceh Province,0
2000,Aceh Province,2
2000,Aceh Province,0
2000,Aceh Province,1
2000,Aceh Province,1
2000,Aceh Province,3
2000,Aceh Province,1
2000,Aceh Province,4
2000,Aceh Province,0
2000,Aceh Province,0
2000,Aceh Province,6
2000,Aceh Province,3
2000,Aceh Province,1
2000,Aceh Province,1
2000,Aceh Province,2
2000,Aceh Province,2
2000,Aceh Province,3
2004,Aceh Province,1
2000,Aceh Province,0
2000,Aceh Province,2
2000,Aceh Province,0
2000,Aceh Province,0
2000,Aceh Province,0
2000,Sulawesi Tengah Province,6
2000,Aceh Province,0
2000,Aceh Province,0
2000,Aceh Province,0
2000,Aceh Province,0
